datetime,feature,count,grid,gen_s,rast_s,enc_s,total_s,pixels_on,optimised
2026-08-12 14:02:36,polygons,100000,4096,0.124000,1.650000,0.430000,2.204000,2334538,
2026-08-12 14:03:00,polygons,1000000,4096,1.331000,15.665000,0.388000,17.384000,2821575,
2026-08-12 14:03:25,polygons,1000000,4096,1.409000,15.810000,0.372000,17.591000,2821575,
2026-08-12 14:04:34,polygons,1000,16384,0.004000,0.269000,7.217000,7.490000,16645498,
2026-08-12 14:04:43,polygons,1000,16384,0.003000,0.271000,6.624000,6.898000,16645498,
2026-08-12 14:04:53,polygons,1000,16384,0.003000,0.272000,6.686000,6.961000,16645498,
2026-08-12 14:05:01,polygons,1000,16384,0.002000,0.267000,6.700000,6.969000,16645498,
2026-08-12 14:05:11,polygons,1000,16384,0.003000,0.267000,6.780000,7.050000,16645498,
2026-08-12 14:23:54,polygons,1000,16384,0.003000,0.280000,6.676000,6.959000,16645498,0
2026-08-12 14:24:08,polygons,1000,16384,0.004000,0.282000,6.610000,6.896000,16645498,0
2026-08-12 14:24:17,polygons,1000,16384,0.003000,0.282000,6.812000,7.097000,16645498,0
2026-08-12 14:24:27,polygons,1000,16384,0.004000,0.263000,6.661000,6.928000,16645498,0
2026-08-12 14:24:36,polygons,1000,16384,0.003000,0.410000,7.160000,7.573000,16645498,0
2026-08-12 14:24:45,polygons,1000,16384,0.003000,0.276000,6.667000,6.946000,16645498,0
2026-08-12 14:25:05,polygons,1000,16384,0.002000,0.304000,6.535000,6.841000,16645498,0
2026-08-12 14:25:13,polygons,1000,16384,0.002000,0.281000,6.569000,6.852000,16645498,0
2026-08-12 14:25:21,polygons,1000,16384,0.002000,0.286000,6.870000,7.158000,16645498,0
2026-08-12 14:25:31,polygons,1000,16384,0.003000,0.280000,6.859000,7.142000,16645498,0
2026-08-12 14:25:58,polygons,1000,16384,0.002000,0.227000,6.613000,6.842000,16645498,1
2026-08-12 14:26:07,polygons,1000,16384,0.005000,0.231000,6.768000,7.004000,16645498,1
2026-08-12 14:26:16,polygons,1000,16384,0.004000,0.220000,7.092000,7.316000,16645498,1
2026-08-12 14:26:24,polygons,1000,16384,0.002000,0.256000,6.568000,6.826000,16645498,1
2026-08-12 14:26:32,polygons,1000,16384,0.002000,0.255000,6.727000,6.984000,16645498,1
2026-08-12 14:26:40,polygons,1000,16384,0.003000,0.225000,6.519000,6.747000,16645498,1
2026-08-12 14:26:48,polygons,1000,16384,0.002000,0.234000,6.812000,7.048000,16645498,1
2026-08-12 14:26:57,polygons,1000,16384,0.003000,0.226000,6.766000,6.995000,16645498,1
2026-08-12 14:27:07,polygons,1000,16384,0.002000,0.220000,6.586000,6.808000,16645498,1
2026-08-12 14:27:15,polygons,1000,16384,0.002000,0.251000,6.559000,6.812000,16645498,1

